Institute,Ranking,Location,ShortDescription,LongDescription,ApplicationDeadline_Masters,ApplicationDeadline_Phd,Application_Fees_US_Resident,Application_Fees_International_Resident,Admissions_Phone,Admissions_Email,Application_URL,Website,FullTimeFaculty,Phd_Student_Ratio,FemalePercentage,MalePercentage,Tuition_masters_full_time,Tuition_masters_part_time,Tuition_doctoral_full_time,Page_URL
University of California--San Diego (Jacobs),#10," • La Jolla, CA","The application fee is $120 for U.S. residents and $140 for international students. Its tuition is full-time: $11,442 per year (in-state); full-time: $26,544 per year (out-of-state); part-time: $5,721 per year (in-state); and part-time: $13,272 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 6:1. The Jacobs School of Engineering at University of California--San Diego (Jacobs) has 235 full-time faculty on staff.","
	The University of California—San Diego Jacobs School of Engineering is home to about 1,350 graduate students who have six broad academic fields in which to specialize. The Jacobs School of Engineering is particularly highly ranked for its bioengineering program, and the school offers Master of Science (M.S.), Master of Engineering, (M.Eng.) and Ph.D. programs. Students can also complete joint M.D./M.S. and M.D./Ph.D. programs in conjunction with the highly ranked UCSD School of Medicine.

	The school runs several research centers including the Center for Wireless Communications and the Center for Energy Research and is affiliated with centers including the San Diego Supercomputer Center and the Whitaker Institute of Biomedical Engineering. The Von Liebig Center funds and commercializes early stage technologies developed at Jacobs and offer courses in entrepreneurism as well as internships for graduate students.

	During the summers, students can participate in paid team internships with industry partners such as Cisco Systems, Inc. There are also several graduate student organizations to get involved in, including the UC San Diego Entrepreneur Challenge and Women in Computing.
", N/A, N/A, $120, $140, (858) 534-3554,gradadmissions@ucsd.edu,http://www.jacobsschool.ucsd.edu/admissions/graduate.shtml,http://www.jacobsschool.ucsd.edu/, 235, 6:1,23.2%,76.3%,"$11,442 per year (in-state)","$5,721 per year (in-state)","$11,442 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-california-san-diego-02025
University of Illinois Urbana-Champaign (Grainger),#10," • Urbana, IL","The application fee is $70 for U.S. residents and $90 for international students. Its tuition is full-time: $18,998 per year (in-state) and full-time: $36,150 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 5.2:1. The Grainger College of Engineering at University of Illinois Urbana-Champaign (Grainger) has 466 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementUrbana, ILExplore Map", N/A, N/A, $70, $90, (217) 244-4637,grad@illinois.edu,http://www.grad.illinois.edu/admissions/apply,https://grainger.illinois.edu/, 466, 5.2:1,22.6%,76.9%,"$18,998 per year (in-state)", N/A,"$18,998 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-illinois-at-urbana-champaign-02055
Columbia University (Fu Foundation),#13," • New York, NY","The application fee is $85 for U.S. residents and $85 for international students. Its tuition is full-time: $54,528 per year and part-time: $2,272 per credit. The 2021 Ph.D. student-faculty ratio is 4.8:1. The Fu Foundation School of Engineering and Applied Science at Columbia University (Fu Foundation) has 190 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementNew York, NYExplore Map", 02/15, 12/15, $85, $85, (212) 854-9367,seasgradmit@columbia.edu,http://gradengineering.columbia.edu/onlineapplication,http://www.engineering.columbia.edu/, 190, 4.8:1,39.3%,60.7%," $54,528 per year"," $2,272 per credit"," $50,496 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/columbia-university-02116
Cornell University,#13," • Ithaca, NY","The College of Engineering at Cornell University has a rolling application deadline. The application fee is $105 for U.S. residents and $105 for international students. Its tuition is full-time: $29,500 per year and part-time: $2,512 per credit. The 2021 Ph.D. student-faculty ratio is 5.5:1. The College of Engineering at Cornell University has 217 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementIthaca, NYExplore Map", N/A, N/A, $105, $105, (607) 255-0880,engr_grad@cornell.edu,http://www.gradschool.cornell.edu/,http://www.engineering.cornell.edu/, 217, 5.5:1,37.9%,62.1%," $29,500 per year"," $2,512 per credit"," $29,500 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/cornell-university-02118
,,,"The application fee is $90 for U.S. residents and $90 for international students. Its tuition is full-time: $2,309 per credit and part-time: $2,309 per credit. The 2021 Ph.D. student-faculty ratio is 5.6:1. The Andrew and Erna Viterbi School of Engineering at University of Southern California (Viterbi) has 189 full-time faculty on staff.","Message from the UniversityVideo Player is loading.Play VideoPlayUnmuteLoaded: 5.09%0:00Current Time 0:00/Duration 3:56Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.Los Angeles, CAExplore MapApply Now", 12/15, 12/15, $90, $90, (213) 740-4488,viterbi.gradadmission@usc.edu,https://gradadm.usc.edu/,http://viterbigradadmission.usc.edu/, 189, 5.6:1,31.5%,68.5%," $2,309 per credit"," $2,309 per credit"," $2,309 per credit",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-southern-california-02027
,,,"The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $58,720 per year. The 2021 Ph.D. student-faculty ratio is 5.1:1. The Whiting School of Engineering at Johns Hopkins University (Whiting) has 232 full-time faculty on staff.","Graduate students at the Whiting School of Engineering in Baltimore have access to courses and research opportunities across several of Johns Hopkins University’s schools – including the Peabody Institute, the Carey Business School and the Bloomberg School of Public Health – allowing them to expand their academic pursuits to include complementary disciplines. This interdisciplinary approach is reflected in the number of research centers and institutes at Whiting that combine engineering research with medical research, including the Center of Cancer Nanotechnology Excellence, the Center for Cardiovascular Bioinformatics and Modeling, and the Johns Hopkins Engineering in Oncology Center.

Prospective graduate and doctoral engineering students can choose on-site, hybrid or online tracks across nine departments and from nearly 50 degree programs at the Whiting School of Engineering. Departments at Whiting include applied mathematics and statistics; computer science; civil and systems engineering; and biomedical engineering. Areas of study include mechanical engineering, security informatics, financial mathematics and robotics.

Outside the classroom, graduate students at Whiting can get involved with any of the more than 35 engineering student groups on campus. Service-oriented groups include Engineers Without Borders and specialty associations include the Biomedical Engineering Society and the American Institute of Chemical Engineers/Society for Biological Engineering.

Notable alums from the Whiting School of Engineering include Ruchika Singhal, vice president of global health and Medtronic labs at Medtronic, a medical device and global health care solutions company.", N/A, N/A, $75, $75, N/A,wsegrad-admissions@jhu.edu,https://applygrad.jhu.edu/apply/,https://engineering.jhu.edu/graduate-admissions/, 232, 5.1:1,38.1%,61.9%," $58,720 per year", N/A," $58,720 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/johns-hopkins-university-02073
University of California--Los Angeles (Samueli),#16," • Los Angeles, CA","The application fee is $120 for U.S. residents and $140 for international students. Its tuition is full-time: $13,036 per year (in-state) and full-time: $28,138 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 5.8:1. The Henry Samueli School of Engineering and Applied Science at University of California--Los Angeles (Samueli) has 191 full-time faculty on staff."," The UCLA Henry Samueli School of Engineering and Applied Science touts itself as the birthplace of the Internet and reverse osmosis, among other discoveries. These days, students can enroll in master’s and Ph.D. programs in about 10 areas, including aerospace engineering, materials science, and civil engineering. The UCLA Master of Science in Engineering Online Program is also offered to working professionals who wish to become distance education students. 
 The school is home to about 10 research centers and institutes, some nationally funded, such as the Center for Cell Control, and others internal, such as the Wireless Health Institute. Graduate students can apply for a variety of financial aid, including fellowships, grants, and teaching and research assistantships. Students can also apply for on-campus housing or can look for private housing elsewhere in Los Angeles. 
 Notable Samueli alumni include Ronald Sugar, former chairman and CEO of global security company Northrop Grumman Corp., and Vinton Cerf, a computer scientist regarded as a founding father of the Internet.", 11/30, 11/30, $120, $140, (310) 825-2514,gradadm@seas.ucla.edu,http://www.gdnet.ucla.edu/gasaa/admissions/applicat.htm,https://samueli.ucla.edu/, 191, 5.8:1,26.6%,73.3%,"$13,036 per year (in-state)", N/A,"$13,036 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-california-los-angeles-02024
Northwestern University (McCormick),#18," • Evanston, IL","The application fee is $95 for U.S. residents and $95 for international students. Its tuition is full-time: $60,060 per year and part-time: $7,123 per credit. The 2021 Ph.D. student-faculty ratio is 5.1:1. The Robert R. McCormick School of Engineering and Applied Science at Northwestern University (McCormick) has 201 full-time faculty on staff."," The McCormick School of Engineering and Applied Science at Northwestern University budgets $1.5 billion each year for research efforts. That money is put to good use at the more than two dozen research institutes and centers housed at the school’s campus in Evanston, Ill. Research focuses at McCormick include biotechnology, information technology, nanotechnology, and service and infrastructure technologies. 
 Graduate students at McCormick can choose from 15 full-time master’s degree programs offered across the school’s eight departments, including biotechnology, mechanical engineering, biomedical engineering, and engineering design and innovation. The school also offers four part-time master’s programs: engineering management, information technology, product design and development, and project management. 
 Part-time students in the IT program meet every Saturday, while those in the project management program attend late-afternoon and evening courses. Classes for the part-time design and development program meet once a week, alternating Fridays or Saturdays, and the engineering management track meets weeknights in either Evanston or Bensenville, a suburb of Chicago. 
 Students can also carve out time outside of the classroom and research labs to bike along Lake Michigan, take the El to downtown Chicago, or dig their toes into the sand at the on-campus beach, weather permitting. 
 Notable graduates from Northwestern’s McCormick School include Deepak Ahuja, CFO for electric car manufacturer Tesla Motors; Virginia “Ginni” Rometty, CEO of IBM; and Daryl Morey, general manager of the NBA’s Houston Rockets.", N/A, N/A, $95, $95, (847) 491-3421,n-alena@northwestern.edu,https://applyweb.collegenet.com/account/new/create?origin=https%3A%2F%2Fwww.applyweb.com%2Fshibboleth%2Fgatekeeper%3Fdest%3Dhttps%253A%252F%252Fwww.applyweb.com%252Fnugrad%252F,https://www.applyweb.com/nugrad/index.ftl, 201, 5.1:1,40.2%,59.5%," $60,060 per year"," $7,123 per credit"," $56,067 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/northwestern-university-02054
University of Pennsylvania,#18," • Philadelphia, PA","The application fee is $90 for U.S. residents and $90 for international students. Its tuition is full-time: $43,968 per year. The 2021 Ph.D. student-faculty ratio is 6.3:1. The School of Engineering and Applied Science at University of Pennsylvania has 128 full-time faculty on staff."," Graduate students at the University of Pennsylvania’s Graduate School of Engineering and Applied Science (SEAS) have no shortage on research outlets. The school houses six dedicated research labs focused on areas ranging from nanotechnology to robotics to computer graphics and animation. 
 In addition to their lab facilities, Penn’s engineering school boasts more than a dozen research centers and institutes, including the Center for Engineering Cells and Regeneration, the Institute for Medicine and Engineering, and the Penn Center for Bioinformatics. 
 On the academics side, the SEAS at Penn offers full-time master’s degrees in 16 different areas—embedded systems, integrated product design, and robotics round out a list that also includes mechanical, electrical, chemical, and systems engineering, among others. 
 Students can also combine their master of science in engineering or master of biotechnology degrees with an M.B.A. from the Wharton School, or pursue a doctorate in one of six areas. 
 Outside of the classroom, students can also choose to lend their engineering skills to a humanitarian cause through the school’s chapter of Engineers Without Borders, which works on projects locally and internationally; CommuniTech, a student-run nonprofit with a digital aim; and InnoWorks Academy, a nonprofit organization working to engage underprivileged middle school students in the sciences. 
 Notable alumni from Penn’s SEAS include NASA astronauts Michael Gernhardt and Garrett Reisman.", 02/01, 12/15, $90, $90, (215) 898-4542,gradstud@seas.upenn.edu,https://www.seas.upenn.edu/prospective-students/graduate/admissions,http://www.seas.upenn.edu/grad, 128, 6.3:1,37.3%,62.6%," $43,968 per year", N/A," $38,732 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-pennsylvania-02156
Princeton University,#20," • Princeton, NJ",The application fee is $75 for U.S. residents and $75 for international students. The 2021 Ph.D. student-faculty ratio is 4.4:1. The School of Engineering & Applied Science at Princeton University has 163 full-time faculty on staff.," At the Princeton University School of Engineering and Applied Science, research is integrated directly with each academic discipline, ranging from Chemical and Biological Engineering to Operations Research and Financial Engineering. Students can work in each of the departments, if they wish, giving an interdisciplinary slant to their graduate education. The school offers Master of Engineering (M.Eng.), Master of Science in Engineering (M.S.E.) and Ph.D. degree programs. 
 School research focuses on energy and the environment, health, security, and leader preparation—four areas the university says are of societal need. Students and faculty tackle problems in research centers including the Andlinger Center for Energy and the Environment and the Combustion Energy Frontier Research Center, which designs next-generation fuels with funding from the U.S. Department of Energy. At the Keller Center for Innovation in Engineering Education, students go beyond the traditional engineering curriculum and get a greater focus on technology and entrepreneurship. 
 There are about five graduate student organizations to join, including Engineers Without Borders–Princeton University and the Graduate Social Committee, which sponsors monthly socials and breakfasts for graduate students, post-doctoral researchers, staff, and faculty. Many Princeton graduate students live on campus, located about an hour from New York City and Philadelphia.", N/A, N/A, $75, $75, (609) 258-3034,gs@princeton.edu,http://gradschool.princeton.edu/admission,https://engineering.princeton.edu/, 163, 4.4:1,44.6%,55.4%, N/A, N/A," $56,010 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/princeton-university-02108
Harvard University (Paulson),#21," • Allston, MA","The application fee is $105 for U.S. residents and $105 for international students. Its tuition is full-time: $58,224 per year and part-time: $29,112 per year. The 2021 Ph.D. student-faculty ratio is 5.1:1. The John A. Paulson School of Engineering and Applied Sciences at Harvard University (Paulson) has 91 full-time faculty on staff.","
	Engineering students at the Harvard School of Engineering and Applied Sciences can complete their study in four broad areas: Applied Mathematics, Applied Physics, Computer Science, or Engineering Sciences. There are no specific academic departments at SEAS, and faculty research and teach across multiple disciplines. Students can earn a master’s degree in either science or engineering, or can work, tuition free, toward a Ph.D. Students only need to complete half of their degree credits in SEAS, and can cross-register in courses at other Harvard schools, including the highly ranked Medical School, Law School, and Business School.

	Outside of class, students can check out the weekly lunch sessions in the Professional Development Seminar Series, and can get involved in more than 10 research centers on campus, including the Institute for Quantum Science and Engineering and the Center for Nanoscale Systems. Students may apply to live on the Harvard campus in Cambridge, Mass., or can get administrative assistance finding housing elsewhere. Foreign students make up nearly half the student body. Notable alumni include Steve Ballmer, co-founder of Microsoft; Craig Silverstein, director of technology at Google; and Danielle Feinberg, technical director at Pixar Animation Studios.
", 12/01, 12/15, $105, $105, (617) 495-2747,holbrook@seas.harvard.edu,https://gsas.harvard.edu/admissions/apply,https://www.seas.harvard.edu/, 91, 5.1:1,42.8%,57.2%," $58,224 per year"," $29,112 per year"," $50,928 per year",https://www.usnews.com/best-graduate-schools/top-engineering-schools/harvard-university-02076
University of Maryland--College Park (Clark),#21," • College Park, MD","The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $768 per credit (in-state); full-time: $1,706 per credit (out-of-state); part-time: $768 per credit (in-state); and part-time: $1,706 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 4.2:1. The A. James Clark School of Engineering at University of Maryland--College Park (Clark) has 262 full-time faculty on staff."," Graduate students at the University of Maryland—College Park’s A. James Clark School of Engineering can design and test space exploration robotics in zero gravity at the school’s Neutral Buoyancy Research Facility, which houses a neutral buoyancy tank—the only one on a college campus. The facility is one of four on-campus research labs associated with the Space Systems Laboratory, and one of more than 30 research centers and institutes at the Clark School. 
 Full-time master’s students at Clark can choose from 16 degree areas, including engineering standards such as electrical or aerospace engineering, as well as less-common offerings such as fire protection or nuclear engineering. The school also offers the two part-time degree options—a master’s of science in telecommunications and a professional master of engineering degree—and a graduate certificate in engineering. 
 Outside of the classroom and the research labs, graduate students can gain hands-on experience via internships and co-op employment opportunities. They can also use their engineering expertise to make an impact in developing countries via the school’s Engineers Without Borders group. 
 Notable alumni from University of Maryland—College Park’s Clark School of Engineering include Jeong Kim, president of Bell Labs; and Michael Griffin, former head of the National Aeronautics and Space Administration (NASA).", N/A, N/A, $75, $75, (301) 405-0376,gradschool@umd.edu,http://www.gradschool.umd.edu/admissions,http://www.eng.umd.edu/, 262, 4.2:1,23.6%,76.4%,$768 per credit (in-state),$768 per credit (in-state),$768 per credit (in-state),https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-maryland-college-park-02074
University of Colorado--Boulder,#23," • Boulder, CO","The application fee is $60 for U.S. residents and $80 for international students. Its tuition is full-time: $17,068 per year (in-state) and full-time: $35,824 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 6:1. The College of Engineering and Applied Science at University of Colorado--Boulder has 166 full-time faculty on staff."," Graduate students at the University of Colorado—Boulder’s College of Engineering and Applied Science can focus on research topics ranging from biotechnology to space systems at one of the school’s 15 interdisciplinary research centers. The collaborative research centers at UC—Boulder pair the skillset of the engineering department with the Anschutz Medical Campus at UC—Denver, the Colorado Renewable Energy Collaboratory, and the National Science Foundation Industry & University Cooperative Research Program, as well as other colleges within the university. 
 The diverse range of research opportunities complements the degree offerings at UC—Boulder’s College of Engineering and Applied Science. Graduate students can earn a master of science, a master of engineering, or a master of engineering management from the one of the schools eight engineering departments: aerospace, chemical, civil, electrical, mechanical, computer science, interdisciplinary telecommunications, and engineering management. 
 With the exception of the engineering management department, each degree program also offers a Ph.D. track, and joint M.S./M.B.A. degrees are available in computer science and interdisciplinary telecommunications. The College of Engineering and Applied Sciences at UC—Boulder also offers five of its graduate engineering programs and several graduate certificate programs online. 
 In addition to classroom and research opportunities, graduate students at UC—Boulder can participate in community outreach initiatives such as the BOLD Center, which manages several programs aimed at engaging K-12 students in science and engineering. Outdoor enthusiasts can enjoy easy access to hiking, biking, and skiing in the Rocky Mountains. 
 Notable students from UC—Boulder’s College of Engineering and Applied Science include Apple cofounder Steve Wozniak, who attended the school before transferring to the University of California—Berkeley, and was later awarded an honorary doctoral degree.", 12/01, 12/01, $60, $80, (303) 492-6301,apply@colorado.edu,https://www.colorado.edu/engineering/future-students,http://www.colorado.edu/engineering, 166, 6:1,30.1%,69.9%,"$17,068 per year (in-state)", N/A,"$17,068 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-colorado-at-boulder-02032
